,Date,Open,High,Low,Close,Adj Close,Volume,NSE,SPY,DJ,NASDAQ,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_pr_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,vwap,price_movmnt,beta,ds,TS_close_pr
302,2015-10-30,2575.100098,2583.0,2539.949951,2550.449951,2440.373047,167715.0,8065.799805,2079.360107,17663.539063,5053.75,-2.1999510000000555,43.050048999999944,69.70970375658567,2603.14,2392.205,2544.094970600001,2497.6724852999987,2501.087677815615,0,0,0,0,0,0,0,0,-0.010417880404832602,-0.0056646463463494445,-0.004809877153488018,-0.005196145143660735,-0.004043935367869955,2550.45,0.0,1.8391,2015-10-30,2500.5607395603115
303,2015-10-31,2575.100098,2583.0,2539.949951,2550.449951,2440.373047,167715.0,8065.799805,2079.360107,17663.539063,5053.75,24.650146999999833,43.050048999999944,69.70970375658567,2608.148,2397.282,2547.234960800001,2502.7149779499987,2505.788846690318,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2550.45,1.0,,2015-10-31,2496.6122744292898
304,2015-11-01,2575.100098,2583.0,2539.949951,2550.449951,2440.373047,167715.0,8065.799805,2079.360107,17663.539063,5053.75,24.650146999999833,43.050048999999944,69.70970375658567,2609.424,2408.826,2550.3749510000007,2509.1249754999985,2510.042285196002,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2550.45,1.0,,2015-11-01,2492.0272080614063
305,2015-11-02,2542.0,2575.0,2392.0,2432.649902,2327.657227,535525.0,8050.799805,2104.050049,17828.759766,5127.149902,-8.449951000000056,183.0,45.177444905996744,2611.654,2403.651,2542.0749510000005,2507.652465699998,2502.671582034478,0,0,0,0,0,1,0,1,-0.046187946608639896,-0.0018597039800940518,0.011873817294504763,0.009353771201270122,0.014523849023002633,2432.65,0.0,24.8362,2015-11-02,2486.7960546412387
306,2015-11-03,2444.949951,2450.149902,2411.100098,2424.550049,2319.906982,192324.0,8060.700195,2109.790039,17918.150391,5145.129883,12.300048999999944,39.04980400000022,47.74354392591996,2613.113,2400.752,2532.9649657000004,2506.932470599998,2495.2314360311943,0,0,0,0,0,0,0,0,-0.0033296332939833917,0.0012297399314105117,0.0027280672352485436,0.005013844270338463,0.003506817889796121,2424.55,0.0,-2.7076,2015-11-03,2481.1534384061774
307,2015-11-04,2435.0,2474.0,2435.0,2449.050049,2343.349609,261171.0,8040.200195,2102.310059,17867.580078,5142.47998,10.449951000000056,39.0,36.832219229975706,2613.214,2400.491,2526.3049804000007,2506.852477949998,2490.83320869489,0,0,0,0,0,0,0,0,0.010104985752398488,-0.0025432033823458156,-0.003545367008911171,-0.0028222953762795377,-0.0005150313131560003,2449.05,1.0,-3.9733,2015-11-04,2476.3366471150534
308,2015-11-05,2449.949951,2468.25,2405.300049,2414.300049,2310.099121,201885.0,7955.450195,2099.929932,17863.429688,5127.740234000001,0.899902000000111,62.949951000000056,32.57363208568344,2617.008,2391.977,2510.174975500001,2504.492480399998,2483.5443363429954,0,0,0,0,0,0,0,0,-0.01418929888749676,-0.01054078231195088,-0.0011321484144598548,-0.00023228607242165022,-0.002866271926643349,2414.3,0.0,1.3461,2015-11-05,2472.915671949062
309,2015-11-06,2411.100098,2448.850098,2411.100098,2429.449951,2324.595215,178321.0,7954.299805,2099.199951,17910.330078,5147.120117,-3.1999510000000555,37.75,36.19917747755459,2618.844,2386.936,2494.9049804000006,2502.889977949998,2478.3924901198534,0,0,0,1,0,0,0,0,0.006275096106579392,-0.00014460401005633727,-0.00034762159864287767,0.0026254975007125037,0.0037794198059213358,2429.45,1.0,-43.395,2015-11-06,2469.335441333515
310,2015-11-07,2411.100098,2448.850098,2411.100098,2429.449951,2324.595215,178321.0,7954.299805,2099.199951,17910.330078,5147.120117,-18.349853000000167,37.75,36.19917747755459,2620.49,2382.085,2480.8099853000003,2501.2874754999984,2473.7312959179626,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2429.45,1.0,,2015-11-07,2463.7747055811656
311,2015-11-08,2411.100098,2448.850098,2411.100098,2429.449951,2324.595215,178321.0,7954.299805,2099.199951,17910.330078,5147.120117,-18.349853000000167,37.75,36.19917747755459,2622.009,2376.971,2466.0249755,2499.4899779499983,2469.514024973395,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2429.45,1.0,,2015-11-08,2458.371338483794
