date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2015-02-13,153.0,156.100006,152.0,153.550003,149.82608000000002,5666609,153.59,8711.549805,2088.47998,17972.380859,4857.609863000001,0.1999969999999962,4.100006000000008,62.198966135800895,154.469,136.641,145.55499955,156.967500175,148.23749997734507,0,0,0,0,0,0,0,0,0.0049083777995519995,0.009753739270961015,0.009644506350069637,0.006171725792244009,0.01175329500902289,1.0,0.5,2015-02-13,140.78290025096425,Friday,0,152.800003,4.100006000000008,5.195540080759012,15.361458303087378,80.68181301653361,77.20704059797878,77.20704059797878,70.71000780542174,70.71000780542174,90.20110618309283,90.20110618309283,148.8319883720134,148.4438440085996,0.3881443634138009,-1.002881656207579,2.78205203924276
2015-02-16,157.0,158.0,150.25,150.949997,147.289108,4949268,153.79,8805.5,2088.47998,17972.380859,4857.609863000001,3.449996999999996,7.75,63.1914829787234,154.756,137.594,146.17499924999998,156.70666681666665,148.49583302712173,0,0,0,0,0,0,0,0,-0.016932779660256858,0.010784555802697326,0.0,0.0,0.0,0.0,-1.57,2015-02-16,140.04747031984073,Monday,1,153.550003,7.75,5.37800150356194,46.68874303758555,43.59997599999997,66.00468573198583,66.00468573198583,69.14156711427643,69.14156711427643,59.73092296740464,59.73092296740464,149.15783585324212,148.62948497092555,0.5283508823165732,-0.6966351485027485,2.4499720616386433
2015-02-18,151.0,152.449997,149.600006,151.649994,147.972137,3717870,151.19,8809.349609,2100.340088,18047.580078,4899.27002,0.050003000000003794,2.8499909999999886,62.39129782608695,155.182,138.308,146.74499895,156.46333338333332,148.79622931025298,0,0,0,0,0,0,0,0,0.004637335436915135,0.0004371823292261823,0.005678822930349492,0.00418415454190324,0.008576266553911971,1.0,10.61,2015-02-18,139.6776657184236,Wednesday,4,150.949997,2.8499909999999886,5.197429324736086,50.80004800000006,49.19995199999994,60.40310782132386,60.40310782132386,66.2287473499589,66.2287473499589,48.75182876405378,48.75182876405378,149.54124479889717,148.85322638048663,0.688018418410536,-0.4197044351200916,2.215445707061255
2015-02-19,151.0,157.800003,150.100006,156.25,152.460587,8185032,154.43,8869.099609,2099.679932,18029.849609,4906.359863000001,-0.6499939999999924,7.699996999999996,62.51354360515943,156.699,137.946,147.3224991,156.26249999999996,149.50611223308604,0,0,0,0,0,0,0,0,0.030333075476229654,0.006782566551673419,-0.00031430909868912504,-0.0009824291635426308,0.0014471223204799433,1.0,4.47,2015-02-19,139.77352618527473,Thursday,2,151.649994,7.699996999999996,5.3761841586835075,14.000000000000002,86.0,68.9354052142159,68.9354052142159,67.13096663804455,67.13096663804455,72.5442823665586,72.5442823665586,150.57336098368222,149.40113553748762,1.1722254461946022,-0.10131845885715272,2.54708781010351
2015-02-20,158.0,160.699997,155.199997,156.550003,152.753311,6630757,158.31,8895.299805,2097.449951,17985.769531,4924.700195,1.75,5.5,64.84983585766341,158.01,137.97,147.98999939999996,156.08458340833332,150.17695897279214,0,0,0,0,0,0,1,0,0.0019199978549209185,0.002954098742268263,-0.0010620575860226245,-0.0024448389174580587,0.0037380731361162933,1.0,0.65,2015-02-20,139.41830345494765,Friday,0,156.25,5.5,5.3850281473489705,27.30259749393367,72.69740250606633,70.18940431149937,70.18940431149937,68.1504458625295,68.1504458625295,74.26732120943913,74.26732120943913,151.49284437080803,149.93068127545152,1.5621630953565102,0.23137785198557997,2.6615704867418604
2015-02-23,161.600006,161.800003,154.199997,154.850006,151.094559,6743403,157.48,8833.599609,2110.300049,18140.439453,4955.970215,5.050003000000004,7.600006000000008,62.284490074129096,158.787,138.333,148.55999984999997,155.85416679166664,150.62201107062145,0,0,0,0,0,0,0,1,-0.010859024849549703,-0.006936269417846752,0.006126533791127375,0.008599572108016318,0.006349629167629045,0.0,1.57,2015-02-23,139.34673145859327,Monday,1,156.550003,7.600006000000008,5.543240851109759,42.63801055742134,54.42624918032789,64.93501926777554,64.93501926777554,67.07863699761151,67.07863699761151,60.64778380810361,60.64778380810361,152.0093307752991,150.29507569949214,1.7142550758069603,0.5279532967498561,2.3726035581142084
2015-02-24,155.0,156.899994,151.399994,153.649994,149.923645,6455384,153.85,8754.950195,2109.659912,18116.839844,4960.970215,0.1499939999999924,5.5,59.5675547348471,159.31,138.695,149.00249939999998,155.76083335833331,150.91039039722895,0,0,0,0,0,0,0,0,-0.007749544442563372,-0.008903438856326495,-0.00030333932859605284,-0.0013009392115965746,0.0010088841908022506,0.0,0.87,2015-02-24,139.08320693260663,Tuesday,3,154.850006,5.5,5.540152218887633,53.44268196721319,44.74570169491518,58.20524674348876,58.20524674348876,64.12084024623726,64.12084024623726,46.37405973799173,46.37405973799173,152.26174050217617,150.5435881661964,1.7181523359797666,0.7659931045958384,1.9043184627678564
2015-02-25,154.600006,155.449997,152.25,153.649994,149.923645,3479311,153.69,8762.099609,2115.47998,18209.189453,4968.120117,0.9500120000000152,3.199996999999996,62.68485888012953,159.589,139.531,149.55999909999997,155.62041664166662,151.1713050260643,0,0,0,0,0,0,0,0,0.0,0.0008166138973679793,0.002758770722662396,0.0050974457905021975,0.0014412305839655026,1.0,0.0,2015-02-25,139.43157100962486,Wednesday,4,153.649994,3.199996999999996,5.372998274681374,55.25429830508482,36.07836078431363,50.82961809043038,50.82961809043038,59.6904328609683,59.6904328609683,33.10798854935453,33.10798854935453,152.47531796337984,150.7736923020337,1.701625661346128,0.9531196159458964,1.4970120908004632
2015-02-26,153.100006,154.0,148.0,149.75,146.118225,9010829,150.52,8767.25,2113.860107,18224.570313,4967.140136999999,-0.5499879999999848,6.0,60.54945714285715,159.039,141.041,150.03999939999997,155.43249994999996,151.0359426426296,0,0,0,0,0,1,0,0,-0.025382387147804497,0.0005878032925703547,-0.000765723625519743,0.0008446757083668821,-0.00019725368487921724,0.0,-43.18,2015-02-26,139.74414605211484,Thursday,2,153.649994,6.0,5.417784112204132,87.31884333648333,12.681156663516663,38.11346428145914,38.11346428145914,52.49811000113191,52.49811000113191,9.344172842113593,9.344172842113593,152.05603827670603,150.6978632426238,1.3581750340822225,1.0341306995731618,0.6480886690181213
2015-02-27,150.550003,155.800003,149.800003,155.149994,151.38725300000002,6534491,154.01,8683.849609,2110.73999,18214.419922,4987.890136999999,0.8000030000000038,6.0,63.10380428823896,159.191,142.164,150.67749939999996,155.3079165166666,151.42775705761727,0,0,0,0,1,0,0,0,0.03606003289459636,-0.009512719609911846,-0.0014760281390748808,-0.0005569618830880696,0.004177454113974743,1.0,-3.79,2015-02-27,139.59243056069937,Friday,0,149.75,6.050003000000004,5.462942604189552,48.18846053874053,51.81153946125947,42.67948934139258,42.67948934139258,49.225236447885464,49.225236447885464,29.587995128406817,29.587995128406817,152.5320314649051,151.02765070613316,1.50438075877193,1.1281807114129154,0.7524000947180292
