Date,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDPETRO.NS,HINDUNILVR.NS,IBULHSGFIN.NS,ICICIBANK.NS,INDUSINDBK.NS,INFRATEL.NS,INFY.NS,IOC.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
2014-02-11,146.075867,149.858292,468.250122,244.192886,206.954727,2300.317871,125.732918,296.276947,8882.902344,85.853302,406.622101,207.712601,2579.754639,4327.542969,171.363861,668.48291,735.702637,621.331909,1756.91687,101.40612,29.357536,522.525696,155.800674,138.804688,377.549408,150.791641,741.753296,39.428013,192.536667,322.18512000000004,606.8268429999999,894.1842039999999,415.377594,1633.1313480000001,119.385269,152.467834,87.75222,372.83444199999997,126.100555,600.4080809999999,368.78302,338.18856800000003,896.047424,427.66995199999997,1679.355469,181.654556,151.483826,251.398804,48.893326,257.839294
2014-02-12,143.908127,149.763733,461.48278799999997,240.04821800000002,1033.5273439999999,2300.317871,127.13128700000001,299.535431,8833.980469,87.07074,406.86852999999996,207.635651,2536.0708010000003,4346.889647999999,175.72174099999998,676.515198,745.862732,621.958313,1768.6037600000002,100.387688,28.898991,529.028809,155.207504,143.15271,376.572479,151.649445,742.5478519999999,39.222023,189.842255,323.329956,617.117798,891.050842,414.659912,1603.498047,118.120499,156.417755,87.844002,378.691467,127.16264299999999,603.122375,370.900055,324.825989,897.64209,430.875,1685.6308589999999,181.55831899999998,150.44078100000002,251.086273,48.382526,257.25588999999997
2014-02-13,142.03599499999999,145.650925,453.21698,237.805267,203.363785,2300.317871,127.15704299999999,294.623383,8782.570313,84.743279,374.88092,200.32724,2484.872559,4720.203613000001,172.915115,675.789001,727.394104,609.479614,1762.0216059999998,97.18692,27.617479,517.694824,151.925415,140.917236,365.33734100000004,152.010635,739.598328,37.307076,187.680878,316.98336800000004,602.735718,878.328552,419.82290599999993,1597.221191,117.53328700000002,151.113617,87.20146899999999,373.829926,124.51151999999999,607.317261,370.210266,318.838745,909.7161869999999,416.666382,1668.58374,175.928223,151.523926,247.849777,47.065613,256.96423300000004
2014-02-14,144.893463,142.909042,457.084045,239.073029,1018.249817,2300.317871,126.57366200000001,297.05508399999997,8732.868164,84.93448599999999,368.029968,200.634964,2501.793213,4750.42334,177.642395,679.4875490000001,731.8095089999999,618.441101,1734.975464,96.89595,27.787948999999998,520.481812,150.976379,141.61222800000002,368.21936,155.983597,751.664429,36.635696,189.398087,321.786896,606.277161,885.500183,418.781036,1599.313477,119.475594,152.716446,87.430931,380.612915,122.39974199999999,601.148376,382.864502,321.745819,924.271606,420.812347,1646.743774,178.14176899999998,152.12571699999998,251.68895,47.991440000000004,254.14474500000003
2014-02-17,148.98259,142.814468,457.51907300000005,245.728851,205.90239,2300.317871,129.014343,296.325592,8765.499023,85.340538,369.015717,197.134628,2563.318604,4804.15332,178.84874,681.779053,739.975525,626.728149,1766.723022,95.538048,27.999572999999998,520.481812,152.004517,144.578125,372.957672,153.500488,754.52063,36.750145,189.57576,323.927307,609.666565,898.222473,429.75527999999997,1621.015259,120.921066,153.462357,87.706329,376.098633,122.27530700000001,597.249573,380.697723,324.565552,923.2056880000001,418.952515,1647.880249,175.880096,151.403595,250.438995,48.709755,255.21418799999998
2014-02-18,157.308685,144.421799,457.374023,244.729233,215.16128500000002,2300.317871,133.612671,293.99118,8760.525391,84.743279,366.600616,196.24993899999998,2571.560547,4819.483397999999,176.189194,674.631897,763.334167,636.3642580000001,1772.678711,96.31399499999999,28.228868,522.3399049999999,151.806793,148.682663,380.236115,154.042252,759.440247,36.361046,187.680878,338.636536,621.331726,906.523926,433.019775,1662.61853,120.921066,152.936905,87.889893,376.49215699999996,124.544724,601.839233,385.424377,329.424408,923.4614869999999,418.561981,1671.004883,179.296646,151.844879,248.675644,49.116806,259.443481
2014-02-19,161.69342,146.170944,452.92700199999996,245.55815099999998,215.299759,2300.317871,132.132813,294.28292799999997,8753.110352,83.883926,367.88208,196.01915,2587.415283,4799.793457,177.371902,678.1259769999999,765.138245,645.663025,1741.199341,95.87751800000001,28.193581,519.041809,150.936844,147.693756,383.850861,154.629166,774.167175,36.773026,187.532547,341.424103,629.819824,925.582825,436.74731399999996,1652.546143,119.565964,154.374008,87.109673,376.07547,125.13386499999999,615.21344,385.522919,324.392487,937.079041,423.33926399999996,1686.371948,178.57484399999998,149.35759,252.470215,48.997078,255.797577
2014-02-20,162.383163,144.421799,446.25631699999997,240.389542,213.76737999999997,2300.317871,129.739273,288.787354,8792.473633,82.786049,365.910553,193.134247,2633.522461,4801.654785,174.687851,668.392273,751.7023929999999,638.628662,1724.8109129999998,94.42263,28.475731,514.7219240000001,150.304153,144.391373,375.644318,153.635925,765.4729,36.284752000000005,184.689789,333.38504,631.866333,920.965393,430.61187699999994,1638.143188,118.43668400000001,152.605423,87.293251,372.927063,122.85613300000001,611.610901,385.86825600000003,318.231232,933.4208980000001,420.904266,1682.023926,175.976349,148.635483,252.313965,48.190971000000005,257.061462
2014-02-21,164.797211,153.167465,448.57653799999997,238.487915,220.32153300000002,2300.317871,131.227722,280.276398,8862.22168,86.23571,363.93908700000003,193.288101,2650.443604,4784.21875,176.263626,698.024902,760.200562,640.2186280000001,1718.7210690000002,94.713608,29.798412,515.929565,151.767273,146.891602,383.02044700000005,155.667542,773.610229,37.085831,188.094879,334.529938,644.385132,919.3444210000001,430.635071,1630.649658,119.656281,153.019791,87.47683,375.72821,124.640152,607.169312,390.151031,324.86969,940.387207,424.56872599999997,1778.7717289999998,173.23349,149.237259,255.14863599999998,48.877365000000005,262.360199
2014-02-24,162.087555,151.323776,455.150513,236.02548199999998,1143.009644,2300.317871,130.940338,275.07266200000004,9068.835938,86.891708,362.263336,193.865082,2711.047852,4721.722168,179.169128,694.3945309999999,769.363708,646.57843,1745.9013670000002,94.51960799999999,29.663233,515.5115969999999,149.434204,148.453354,389.908081,154.854889,773.44519,37.238415,189.546448,337.292572,662.401184,939.3856810000001,437.164032,1639.213745,105.60830700000001,155.920532,87.24736,376.121765,125.337166,612.548523,390.496429,320.35693399999997,928.534912,420.720459,1816.522461,171.78985600000001,147.552292,257.871826,48.510222999999996,254.825333
